id,brand,model,year,miles,city_mileage,highway_mileage,horsepower,torque,engine_capacity_litre,fuel_capacity,num_cylinder,num_seat,num_owners,price,link,condition,type,doors,wheel_drive,engine_type,speed_levels,front_headroom,front_legroom,rear_headroom,rear_legroom,service_records
16,Honda,Civic,2015,25939,29,37,143,129,1.8,13.2,4,5,1,19450,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670349759&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,gas,6,37.9,42,36.2,36.2,15
17,Honda,Civic,2019,32270,32,42,174,162,1.5,12.4,4,5,1,22688,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=665777176&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,gas,6,37.5,42.3,36.8,37.4,4
18,Honda,Civic,2018,19950,31,40,158,138,2,12.4,4,5,1,22988,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=664221096&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,gas,6,37.5,42.3,36.8,37.4,9
19,Honda,Accord,2020,19719,30,38,192,192,1.5,14.8,4,5,1,26988,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667025539&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,gas,6,37.5,42.3,37.2,40.4,4
20,Honda,Civic,2020,16076,32,42,174,162,1.5,12.4,4,5,1,24498,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670503031&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,gas,6,37.5,42.3,36.8,37.4,5
21,Subaru,Impreza,2019,28214,28,38,152,145,2,13.2,4,5,1,22360,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=654480738&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,gas,6,39.8,43.1,37.2,36.5,4
22,Honda,Accord,2020,12395,30,38,192,192,1.5,14.8,4,5,1,26788,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=660654522&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,gas,6,37.5,42.3,37.2,40.4,4
23,Honda,Civic,2019,33322,30,38,158,138,2,12.4,4,5,1,22899,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=669424426&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,gas,6,39.3,42.3,37.1,37.4,4
24,Honda,Insight,2019,56233,55,49,151,99,1.5,10.6,4,5,2,21998,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667513422&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,hybrid_gas_electric,6,39.3,42.3,36.9,37.4,5
25,Volkswagen,Jetta,2019,24250,30,40,147,184,1.4,13.2,4,5,1,17880,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=668494782&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,gas,8,38.5,41.1,37.2,37.4,8
26,Ford,Taurus,2019,38097,17,24,288,254,3.5,19,6,5,3,22993,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667462112&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,4,gas,6,39,41.9,37.8,38.1,1
27,Ford,Fusion,2020,35743,20,29,245,275,2,18,4,5,1,20900,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=659183406&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,4,gas,6,39.2,44.3,37.8,38.3,8
28,Chevrolet,Malibu,2019,32946,29,36,160,184,1.5,15.8,4,5,1,18949,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=652105725&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,gas,6,39.1,41.5,37.5,38.1,15
29,Volkswagen,Passat,2018,26905,25,36,174,184,2,18.5,4,5,2,19795,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=660778224&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=SEDAN&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DSEDAN%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,gas,6,38.3,42.4,37.8,39.1,11
30,Volkswagen,Passat,2017,66329,23,34,170,184,1.8,18.5,4,5,2,15795,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=643038405&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=spotlight,,sedan,4,2,gas,6,38.3,42.4,37.8,39.1,5
31,Volkswagen,Passat,2020,27457,23,34,174,206,2,18.5,4,5,1,24498,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=669548789&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,gas,6,38.3,42.4,37.8,39.1,11
32,Honda,Accord,2020,12395,30,38,192,192,1.5,14.8,4,5,1,26788,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=660654522&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,gas,6,37.5,42.3,37.2,40.4,4
33,Honda,Civic,2019,41799,30,38,158,138,2,12.4,4,5,1,19998,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667806595&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=spotlight,,sedan,4,2,gas,6,39.3,42.3,37.1,37.4,4
34,Hyundai,Sonata,2019,26910,25,33,185,178,2.4,18.5,4,5,1,17993,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667930112&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,6,40.4,45.5,38,35.6,4
35,Honda,Civic,2018,16581,31,40,158,138,2,12.4,4,5,2,21994,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=660810982&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,6,37.5,42.3,36.8,37.4,4
36,Hyundai,Sonata,2019,9736,25,33,185,178,2.4,18.5,4,5,1,25491,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=665634639&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,6,40.4,45.5,38,35.6,6
37,Honda,Civic,2017,7743,31,40,158,138,2,12.4,4,5,1,22995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663249628&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=spotlight,,sedan,4,2,gas,6,37.5,42.3,36.8,37.4,2
38,Subaru,Impreza,2019,44371,28,38,152,145,2,13.2,4,5,2,22388,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=662449331&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,4,gas,6,39.8,43.1,37.2,36.5,7
39,Volkswagen,Jetta,2020,12944,25,32,228,258,2,13.2,4,5,1,25460,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=661664732&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,7,38.5,41.1,37.2,37.4,5
40,Volkswagen,Jetta,2019,5000,30,40,147,184,1.4,13.2,4,5,1,19877,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=665711591&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,8,38.5,41.1,37.2,37.4,6
41,Honda,Civic,2019,41799,30,38,158,138,2,12.4,4,5,1,19998,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667806595&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,6,39.3,42.3,37.1,37.4,4
42,Chevrolet,Malibu,2018,13726,22,32,250,260,2,15.8,4,5,1,23570,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663504339&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,9,39.1,42,37.5,38.1,7
43,Volkswagen,Jetta,2019,18898,30,40,158,184,1.4,13.2,4,5,1,18999,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667026207&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,8,38.5,41.1,37.2,37.4,4
44,Honda,Accord,2018,51279,30,38,192,192,1.5,14.8,4,5,1,25991,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663922662&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,6,37.5,42.3,37.2,40.4,8
45,Ford,Fusion,2020,36506,21,31,245,275,2,16.5,4,5,1,19795,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=664666395&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,6,39.2,44.3,37.8,38.3,7
46,Honda,Accord,2018,58126,30,38,192,192,1.5,14.8,4,5,2,22991,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=665783411&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,,sedan,4,2,gas,6,37.5,42.3,37.2,40.4,14
