id;satisfaction_level;last_evaluation;average_montly_hours;time_spend_company;Work_accident;left;promotion_last_5years;salary;num_project;depto
35;0,84;0,87;246;6;0;1;0;low;4;hr
36;0,1;0,94;255;4;0;1;0;low;6;technical
37;0,38;0,46;137;3;0;1;0;low;2;technical
38;0,45;0,5;126;3;0;1;0;low;2;technical
39;0,11;0,89;306;4;0;1;0;low;6;technical
40;0,41;0,54;152;3;0;1;0;low;2;technical
41;0,87;0,88;269;5;0;1;0;low;5;technical
42;0,45;0,48;158;3;0;1;0;low;2;technical
43;0,4;0,46;127;3;0;1;0;low;2;technical
44;0,1;0,8;281;4;0;1;0;low;6;technical
45;0,09;0,89;276;4;0;1;0;low;6;technical
46;0,84;0,74;182;4;0;1;0;low;3;technical
47;0,4;0,55;147;3;0;1;0;low;2;support
48;0,57;0,7;273;6;0;1;0;low;3;support
49;0,4;0,54;148;3;0;1;0;low;2;support
50;0,43;0,47;147;3;0;1;0;low;2;support
51;0,13;0,78;152;2;0;1;0;low;6;support
52;0,44;0,55;135;3;0;1;0;low;2;support
53;0,38;0,55;134;3;0;1;0;low;2;support
54;0,39;0,54;132;3;0;1;0;low;2;support
55;0,1;0,92;307;4;0;1;0;low;6;support
56;0,37;0,46;140;3;0;1;0;low;2;support
57;0,11;0,94;255;4;0;1;0;low;6;support
58;0,1;0,81;309;4;0;1;0;low;6;technical
59;0,38;0,54;128;3;0;1;0;low;2;technical
60;0,85;1;225;5;0;1;0;low;4;technical
61;0,85;0,91;226;5;0;1;0;medium;5;management
62;0,11;0,93;308;4;0;1;0;medium;6;IT
63;0,1;0,95;244;5;0;1;0;medium;6;IT
64;0,36;0,56;132;3;0;1;0;medium;2;IT
65;0,11;0,94;286;4;0;1;0;medium;6;IT
66;0,81;0,7;161;4;0;1;0;medium;6;IT
67;0,43;0,54;153;3;0;1;0;medium;2;product_mng
68;0,9;0,98;264;6;0;1;0;medium;4;product_mng
69;0,76;0,86;223;5;1;1;0;medium;5;product_mng
70;0,43;0,5;135;3;0;1;0;medium;2;product_mng
71;0,74;0,99;277;3;0;1;0;medium;2;IT
72;0,09;0,77;275;4;0;1;0;medium;5;product_mng
73;0,45;0,49;149;3;0;1;0;high;2;product_mng
74;0,09;0,87;295;4;0;1;0;low;6;product_mng
75;0,11;0,97;277;4;0;1;0;medium;6;product_mng
76;0,11;0,79;306;4;0;1;0;medium;6;product_mng
77;0,1;0,83;295;4;0;1;0;medium;6;product_mng
78;0,4;0,54;137;3;0;1;0;medium;2;marketing
79;0,43;0,56;157;3;0;1;0;low;2;sales
80;0,39;0,56;142;3;0;1;0;low;2;accounting
81;0,45;0,54;140;3;0;1;0;low;2;support
82;0,38;0,49;151;3;0;1;0;low;2;technical
83;0,79;0,59;139;3;0;1;1;low;4;management
84;0,84;0,85;249;6;0;1;0;low;4;marketing
85;0,11;0,77;291;4;0;1;0;low;6;marketing
86;0,11;0,87;305;4;0;1;0;low;6;marketing
87;0,17;0,84;232;3;0;1;0;low;5;sales
88;0,44;0,45;132;3;0;1;0;low;2;sales
89;0,37;0,57;130;3;0;1;0;low;2;sales
90;0,1;0,79;291;4;0;1;0;low;6;sales
91;0,4;0,5;130;3;0;1;0;low;2;sales
92;0,89;1;246;5;0;1;0;low;5;sales
93;0,42;0,48;143;3;0;1;0;low;2;sales
94;0,46;0,55;129;3;0;1;0;low;2;sales
95;0,09;0,83;255;4;0;1;0;low;6;sales
96;0,37;0,51;155;3;0;1;0;low;2;sales
97;0,1;0,77;265;4;0;1;0;low;6;sales
98;0,1;0,84;279;4;0;1;0;low;6;sales
99;0,11;0,97;284;4;0;1;0;low;6;sales
100;0,9;1;221;6;0;1;0;medium;5;sales
101;0,38;0,52;154;3;0;1;0;medium;2;sales
102;0,36;0,52;147;3;0;1;0;medium;2;sales
103;0,42;0,46;150;3;0;1;0;medium;2;sales
104;0,09;0,94;267;4;0;1;0;medium;6;sales
105;0,43;0,52;158;3;0;1;0;medium;2;sales
106;0,24;0,46;224;5;0;1;0;medium;6;accounting
107;0,91;1;257;5;0;1;0;medium;4;accounting
108;0,44;0,5;148;3;0;1;0;medium;2;accounting
109;0,71;0,87;177;4;0;1;0;medium;3;hr
110;0,4;0,49;155;3;0;1;0;medium;2;hr
111;0,43;0,47;144;3;0;1;0;medium;2;hr
112;0,09;0,85;289;4;0;1;0;high;6;hr
113;0,43;0,52;160;3;0;1;0;low;2;technical
114;0,9;0,96;258;5;0;1;0;medium;4;technical
115;0,84;1;234;5;0;1;0;medium;5;technical
116;0,37;0,48;137;3;0;1;0;medium;2;technical
117;0,86;0,68;263;2;0;1;0;medium;5;technical
118;0,11;0,84;251;4;0;1;0;low;6;technical
119;0,37;0,57;133;3;0;1;0;low;2;technical
120;0,4;0,46;132;3;0;1;0;low;2;technical
121;0,14;0,62;158;4;1;1;0;low;4;technical
122;0,4;0,46;135;3;0;1;0;low;2;technical
123;0,75;1;216;6;0;1;0;low;4;technical
124;0,11;0,84;300;5;1;1;0;low;6;support
125;0,46;0,49;138;3;0;1;0;low;2;support
126;0,11;0,92;260;4;0;1;0;low;6;support
127;0,38;0,49;132;3;0;1;0;low;2;support
128;0,7;0,89;183;5;0;1;0;low;3;support
129;0,09;0,82;250;4;0;1;0;low;6;support
130;0,37;0,45;151;3;0;1;0;low;2;support
131;0,1;0,83;292;4;0;1;0;low;6;support
132;0,38;0,57;140;3;0;1;0;low;2;support
133;0,9;1;221;5;0;1;0;low;5;support
134;0,44;0,51;138;3;0;1;0;low;2;support
135;0,36;0,5;132;3;0;1;0;low;2;technical
136;0,31;0,84;133;5;0;1;0;low;6;technical
137;0,1;0,84;283;4;1;1;0;low;6;technical
138;0,42;0,48;129;3;0;1;0;low;2;management
139;0,74;1;249;5;0;1;0;low;4;IT
140;0,73;0,87;257;5;0;1;0;low;5;IT
141;0,09;0,96;245;4;0;1;0;low;6;IT
142;0,45;0,53;155;3;0;1;0;low;2;IT
143;0,11;0,8;256;4;0;1;0;low;6;IT
144;0,37;0,47;152;3;0;1;0;low;2;product_mng
145;0,84;0,99;267;5;0;1;0;low;4;product_mng
146;0,41;0,46;151;3;0;1;0;low;2;product_mng
147;0,76;0,92;239;5;0;1;0;low;4;product_mng
148;0,11;0,87;306;4;0;1;0;low;6;IT
149;0,84;0,88;263;5;1;1;0;low;4;marketing
150;0,39;0,5;147;3;0;1;0;low;2;marketing
151;0,11;0,91;278;4;0;1;0;low;6;marketing
152;0,45;0,56;154;3;0;1;0;low;2;marketing
153;0,37;0,52;143;3;0;1;0;low;2;marketing
154;0,4;0,52;155;3;0;1;0;low;2;marketing
155;0,39;0,48;160;3;0;1;0;low;2;sales
156;0,11;0,8;304;4;0;1;0;low;6;accounting
157;0,83;1;240;5;0;1;0;low;5;support
158;0,11;0,92;305;4;0;1;0;low;6;technical
159;0,39;0,5;136;3;0;1;0;low;2;management
160;0,45;0,45;132;3;0;1;0;low;2;marketing
161;0,1;0,95;301;4;0;1;0;low;6;marketing
162;0,9;0,98;243;6;0;1;0;low;5;marketing
163;0,45;0,51;147;3;0;1;0;low;2;sales
164;0,79;0,89;239;5;0;1;0;low;5;sales
165;0,9;0,99;260;5;0;1;0;low;5;sales
166;0,11;0,84;296;4;0;1;0;low;6;sales
167;0,43;0,55;129;3;0;1;0;low;2;sales
168;0,31;0,54;132;5;0;1;0;low;5;sales
169;0,32;0,5;135;5;0;1;0;low;2;sales
170;0,45;0,57;158;3;0;1;0;low;2;sales
171;0,81;0,99;259;5;0;1;0;low;4;sales
172;0,41;0,46;160;3;0;1;1;low;2;sales
173;0,11;0,78;278;4;0;1;0;low;6;sales
174;0,1;0,88;284;4;0;1;0;low;6;sales
175;0,7;0,53;274;4;0;1;0;low;2;sales
176;0,54;0,74;164;2;0;1;0;low;4;sales
177;0,41;0,48;148;3;0;1;0;low;2;sales
178;0,38;0,5;140;3;0;1;0;medium;2;sales
179;0,37;0,51;127;3;0;1;0;medium;2;sales
180;0,11;0,85;308;5;0;1;0;medium;6;sales
181;0,4;0,47;146;3;0;1;0;medium;2;sales
182;0,1;0,84;261;4;0;1;0;medium;6;accounting
183;0,89;0,99;257;5;0;1;0;medium;5;accounting
184;0,11;0,8;285;4;0;1;0;medium;6;accounting
185;0,36;0,55;141;3;0;1;0;medium;2;hr
186;0,4;0,46;127;3;0;1;0;medium;2;hr
187;0,09;0,85;297;4;0;1;0;medium;6;hr
188;0,4;0,46;143;3;0;1;0;medium;2;hr
189;0,37;0,55;152;3;0;1;0;medium;2;technical
190;0,44;0,51;156;3;0;1;0;high;2;technical
191;0,01;0,8;283;5;0;1;0;low;6;technical
192;0,92;0,87;226;6;1;1;0;medium;4;technical
193;0,74;0,91;232;5;0;1;0;medium;4;technical
194;0,09;0,82;249;4;0;1;0;medium;6;technical
195;0,89;0,95;275;5;0;1;0;medium;4;technical
196;0,09;0,8;304;4;0;1;0;low;6;technical
197;0,27;0,54;278;3;0;1;0;low;6;technical
198;0,1;0,91;287;4;0;1;0;low;6;technical
199;0,1;0,89;285;4;0;1;0;low;6;technical
200;0,77;0,94;226;6;0;1;0;low;5;support
201;0,9;0,82;259;5;0;1;0;low;5;support
202;0,39;0,5;135;3;0;1;0;low;2;support
203;0,76;1;219;5;0;1;0;low;5;support
204;0,1;0,93;256;4;0;1;0;low;6;support
205;0,87;0,9;254;6;0;1;0;low;5;support
206;0,38;0,5;153;3;0;1;0;low;2;support
207;0,77;0,99;228;5;0;1;0;low;5;support
208;0,78;0,87;228;5;0;1;0;low;4;support
209;0,44;0,5;128;3;0;1;0;low;2;support
210;0,38;0,52;153;3;0;1;0;low;2;support
211;0,43;0,46;156;3;0;1;0;low;2;technical
212;0,39;0,5;294;3;0;1;0;low;4;technical
213;0,88;1;219;5;0;1;0;low;5;technical
214;0,45;0,46;153;3;0;1;0;low;2;management
215;0,4;0,53;151;3;0;1;0;low;2;IT
216;0,36;0,51;155;3;0;1;0;low;2;IT
217;0,36;0,48;158;3;0;1;0;low;2;IT
218;0,9;0,98;245;5;0;1;0;low;5;IT
219;0,43;0,53;131;3;0;1;0;low;2;IT
220;0,89;0,87;225;5;0;1;0;low;5;product_mng
221;0,1;0,84;286;4;0;1;0;low;6;product_mng
222;0,37;0,5;135;3;0;1;0;low;2;product_mng
223;0,37;0,51;153;3;0;1;0;low;2;product_mng
224;0,87;0,9;252;5;0;1;0;low;5;IT
225;0,4;0,56;149;3;0;1;0;low;2;accounting
226;0,9;0,97;258;5;0;1;0;low;4;accounting
227;0,37;0,46;158;3;0;1;0;low;2;hr
228;0,44;0,54;149;3;0;1;0;low;2;hr
229;0,85;0,95;236;5;0;1;0;low;5;hr
230;0,78;0,98;239;6;0;1;0;low;5;marketing
231;0,42;0,47;159;3;0;1;0;low;2;marketing
232;0,92;0,99;255;6;0;1;0;low;5;sales
233;0,11;0,83;244;4;0;1;0;low;6;accounting
234;0,42;0,56;134;3;0;1;0;low;2;support
235;0,48;0,57;270;4;0;1;0;low;4;technical
236;0,83;0,85;255;5;0;1;0;low;4;management
237;0,4;0,53;151;3;0;1;0;low;2;marketing
238;0,43;0,45;135;3;0;1;0;low;2;marketing
239;0,43;0,53;146;3;0;1;0;low;2;marketing
240;0,1;0,97;254;4;0;1;0;low;6;sales
241;0,1;0,87;289;4;0;1;0;low;6;sales
242;0,37;0,46;156;3;0;1;0;low;2;sales
243;0,38;0,53;156;3;0;1;0;low;2;sales
244;0,4;0,5;128;3;0;1;0;low;2;sales
245;0,89;0,86;275;5;0;1;0;low;5;sales
246;0,45;0,46;155;3;0;1;0;low;2;sales
247;0,37;0,48;159;3;0;1;0;low;2;sales
248;0,46;0,49;148;3;0;1;0;low;2;sales
249;0,87;0,91;228;5;0;1;0;low;4;sales
250;0,11;0,84;298;4;0;1;0;low;6;sales
251;0,79;0,87;261;5;0;1;0;low;5;sales
252;0,79;0,92;254;6;0;1;0;low;5;sales
253;0,19;0,59;192;3;0;1;0;low;6;sales
254;0,87;0,98;248;5;0;1;0;low;4;sales
255;0,6;0,92;258;5;0;1;0;low;2;sales
256;0,44;0,45;156;3;0;1;0;medium;2;sales
257;0,11;0,81;266;4;1;1;0;medium;6;sales
258;0,42;0,54;156;3;0;1;0;medium;2;sales
259;0,88;0,88;232;5;1;1;0;medium;5;accounting
260;0,11;0,84;287;4;0;1;0;medium;6;accounting
261;0,46;0,46;154;3;0;1;0;medium;2;accounting
262;0,82;0,97;263;5;0;1;0;medium;5;hr
263;0,44;0,56;131;3;0;1;0;medium;2;hr
264;0,11;0,78;260;4;0;1;0;medium;6;hr
265;0,42;0,5;139;3;0;1;0;medium;2;hr
266;0,84;0,93;251;5;0;1;0;medium;4;technical
267;0,11;0,95;286;4;0;1;0;medium;6;technical
268;0,45;0,53;129;3;0;1;0;high;2;technical
269;0,38;0,56;156;3;0;1;0;low;2;technical
270;0,38;0,86;139;6;0;1;0;medium;6;technical
271;0,44;0,51;127;3;0;1;0;medium;2;technical
272;0,11;0,84;251;4;0;1;0;medium;6;technical
273;0,81;0,93;270;5;0;1;0;medium;5;technical
274;0,09;0,96;296;4;0;1;0;low;6;technical
275;0,11;0,9;254;4;0;1;0;low;6;technical
276;0,81;0,95;238;6;0;1;0;low;5;technical
277;0,1;0,97;267;4;1;1;0;low;6;support
278;0,74;0,89;229;6;0;1;0;low;5;support
279;0,09;0,78;254;4;0;1;0;low;6;support
280;0,82;0,81;233;4;1;1;0;low;4;support
281;0,1;0,98;268;4;0;1;0;low;6;support
282;0,27;0,56;301;3;0;1;0;low;3;support
283;0,83;0,92;267;6;0;1;0;low;5;support
284;0,1;0,93;289;4;1;1;0;low;6;support
285;0,38;0,47;144;3;0;1;0;low;2;support
286;0,4;0,56;148;3;0;1;0;low;2;support
287;0,11;0,83;306;4;0;1;0;low;6;support
288;0,11;0,79;292;4;0;1;1;low;6;technical
289;0,82;0,91;232;5;0;1;0;low;5;technical
290;0,36;0,48;137;3;0;1;0;low;2;technical
291;0,4;0,46;128;3;0;1;0;low;2;management
292;0,87;0,84;231;5;0;1;0;low;5;IT
293;0,41;0,49;146;3;0;1;0;low;2;IT
294;0,11;0,91;308;4;1;1;0;low;6;IT
295;0,1;0,93;253;4;0;1;0;medium;6;IT
296;0,38;0,51;146;3;0;1;0;medium;2;IT
297;0,39;0,55;156;3;0;1;0;medium;2;product_mng
298;0,4;0,52;147;3;0;1;0;medium;2;product_mng
299;0,45;0,48;136;3;0;1;0;medium;2;product_mng
300;0,74;0,84;249;5;0;1;0;medium;5;product_mng
301;0,45;0,55;151;3;0;1;0;medium;2;IT
302;0,12;1;278;4;0;1;0;medium;3;RandD
303;0,1;0,77;250;5;0;1;0;medium;6;RandD
304;0,37;0,55;127;3;0;1;0;medium;2;RandD
305;0,89;0,87;255;5;0;1;0;medium;5;RandD
306;0,45;0,47;135;3;0;1;0;medium;2;RandD
307;0,37;0,46;149;3;0;1;0;high;2;marketing
308;0,11;0,81;287;4;0;1;0;low;5;sales
309;0,41;0,48;145;3;0;1;0;medium;2;accounting
310;0,1;0,94;285;4;0;1;0;medium;6;support
311;0,1;0,93;305;4;0;1;0;medium;6;technical
312;0,11;0,95;300;4;0;1;0;medium;6;management
313;0,4;0,54;139;3;0;1;0;low;2;marketing
314;0,41;0,49;130;3;0;1;0;low;2;marketing
315;0,1;0,81;268;4;0;1;0;low;6;marketing
316;0,73;0,86;245;6;0;1;0;low;4;sales
317;0,43;0,47;135;3;0;1;0;low;2;sales
318;0,37;0,46;153;3;0;1;0;low;2;sales
319;0,11;0,94;276;4;0;1;0;low;6;sales
320;0,4;0,46;130;3;0;1;0;low;2;sales
321;0,41;0,54;153;3;1;1;0;low;2;sales
322;0,82;0,84;244;5;0;1;0;low;5;sales
323;0,61;0,47;253;3;0;1;0;low;2;sales
324;0,11;0,91;287;4;0;1;0;low;6;sales
325;0,37;0,45;131;3;0;1;0;low;2;sales
326;0,41;0,52;135;3;0;1;0;low;2;sales
327;0,37;0,52;157;3;0;1;0;low;2;sales
328;0,88;0,99;262;6;0;1;0;low;5;sales
329;0,1;0,85;266;4;0;1;0;low;6;sales
330;0,44;0,48;148;3;0;1;0;low;2;sales
331;0,38;0,57;140;3;0;1;0;low;2;sales
332;0,11;0,85;302;4;0;1;0;low;6;sales
333;0,09;0,98;271;4;0;1;0;low;6;sales
334;0,45;0,52;145;3;0;1;0;medium;2;sales
335;0,1;0,81;290;4;0;1;0;medium;6;accounting
336;0,45;0,47;151;3;0;1;0;medium;2;accounting
337;0,77;0,87;266;5;0;1;0;medium;5;accounting
338;0,44;0,51;140;3;0;1;0;medium;2;hr
339;0,39;0,5;142;3;0;1;0;medium;2;hr
340;0,1;0,91;246;4;0;1;0;medium;6;hr
341;0,09;0,89;308;5;0;1;0;medium;6;hr
342;0,37;0,47;141;3;0;1;0;medium;2;technical
343;0,9;1;232;5;0;1;0;medium;5;technical
344;0,41;0,56;143;3;0;1;0;medium;2;technical
345;0,37;0,52;155;3;0;1;0;medium;2;technical
346;0,1;0,86;278;4;0;1;0;high;6;technical
347;0,81;1;253;5;0;1;0;low;4;technical
348;0,11;0,8;282;4;0;1;0;medium;6;technical
349;0,11;0,84;264;4;0;1;0;medium;6;technical
350;0,4;0,46;149;3;0;1;0;medium;2;technical
351;0,09;0,8;304;5;0;1;0;medium;6;technical
352;0,48;0,93;219;6;0;1;0;low;3;technical
353;0,91;0,91;262;6;0;1;0;low;4;support
354;0,43;0,57;135;3;0;1;0;low;2;support
355;0,33;0,88;219;5;0;1;0;low;6;support
356;0,41;0,57;136;3;0;1;0;low;2;support
357;0,41;0,55;154;3;0;1;0;low;2;support
358;0,37;0,54;149;3;0;1;0;low;2;support
359;0,31;0,62;135;5;0;1;0;low;6;support
360;0,09;0,91;275;4;0;1;0;low;6;support
361;0,1;0,87;290;4;0;1;0;low;6;support
362;0,76;0,9;263;5;0;1;0;low;4;support
363;0,41;0,54;145;3;0;1;0;low;2;support
364;0,72;0,96;267;5;0;1;0;low;5;technical
365;0,4;0,5;141;3;1;1;0;low;2;technical
366;0,91;0,87;235;5;0;1;0;low;4;technical
367;0,1;0,83;258;4;0;1;0;low;6;management
368;0,4;0,56;131;3;0;1;0;low;2;IT
369;0,82;0,86;243;5;0;1;0;low;5;IT
370;0,1;0,82;266;4;0;1;0;low;6;IT
371;0,37;0,45;142;3;0;1;0;low;2;IT
372;0,36;0,51;135;3;0;1;0;low;2;IT
373;0,39;0,48;141;3;0;1;0;medium;2;product_mng
374;0,36;0,57;142;3;0;1;0;medium;2;product_mng
375;0,86;0,84;254;5;0;1;0;medium;5;product_mng
376;0,73;0,99;262;5;0;1;0;medium;5;product_mng
377;0,56;0,71;296;2;0;1;0;medium;4;IT
378;0,44;0,56;158;3;0;1;0;medium;2;accounting
379;0,31;0,56;238;2;0;1;0;medium;4;accounting
380;0,77;0,93;231;5;0;1;0;medium;4;hr
381;0,44;0,45;156;3;0;1;0;medium;2;hr
382;0,38;0,46;145;3;0;1;0;medium;2;hr
383;0,45;0,48;144;3;0;1;0;medium;2;marketing
384;0,38;0,51;159;3;0;1;0;medium;2;sales
385;0,36;0,48;156;3;0;1;0;high;2;accounting
386;0,75;0,9;256;5;0;1;0;low;5;support
387;0,1;0,93;298;4;0;1;0;medium;6;technical
388;0,1;0,97;247;4;0;1;0;medium;6;management
389;0,45;0,5;157;3;0;1;0;medium;2;marketing
390;0,42;0,57;154;3;1;1;0;medium;2;marketing
391;0,78;1;253;5;0;1;0;low;4;marketing
392;0,45;0,55;148;3;0;1;0;low;2;sales
393;0,84;1;261;5;0;1;0;low;4;sales
394;0,11;0,93;282;4;0;1;0;low;6;sales
395;0,42;0,56;133;3;0;1;0;low;2;sales
396;0,45;0,46;128;3;0;1;0;low;2;sales
397;0,46;0,57;139;3;0;1;0;low;2;sales
398;0,09;0,79;293;5;0;1;0;low;6;sales
399;0,87;0,83;265;6;0;1;0;low;4;sales
400;0,1;0,87;250;4;0;1;0;low;6;sales
401;0,91;1;251;6;0;1;0;low;5;sales
402;0,76;0,92;246;5;0;1;0;low;4;sales
403;0,74;1;275;5;0;1;0;low;5;sales
404;0,92;0,93;240;5;0;1;0;low;5;sales
405;0,76;0,87;245;5;0;1;0;low;5;sales
406;0,47;0,5;254;4;0;1;0;low;4;sales
407;0,73;0,99;241;5;0;1;0;low;5;sales
408;0,09;0,94;257;4;0;1;0;low;6;sales
409;0,91;0,92;246;5;0;1;0;low;4;sales
410;0,82;0,98;233;5;0;1;0;low;4;sales
411;0,28;0,45;218;4;0;1;0;low;6;accounting
412;0,84;0,99;262;6;0;1;0;medium;4;accounting
413;0,45;0,53;138;3;0;1;0;medium;2;accounting
414;0,45;0,54;142;3;0;1;0;medium;2;hr
415;0,91;0,97;233;5;0;1;0;medium;5;hr
416;0,42;0,48;155;3;0;1;0;medium;2;hr
417;0,82;1;229;6;0;1;0;medium;4;hr
418;0,11;0,9;264;4;0;1;0;medium;6;technical
419;0,42;0,53;199;4;0;1;0;medium;3;technical
420;0,82;0,85;223;5;0;1;0;medium;4;technical
421;0,09;0,96;268;4;0;1;0;medium;6;technical
422;0,1;0,94;287;4;0;1;0;medium;6;technical
423;0,86;1;257;5;0;1;0;medium;5;technical
424;0,4;0,46;143;3;0;1;0;high;2;technical
425;0,45;0,46;130;3;0;1;0;low;2;technical
426;0,42;0,51;136;3;0;1;0;medium;2;technical
427;0,74;0,92;261;5;0;1;0;medium;4;technical
428;0,55;0,6;180;4;0;1;0;medium;3;technical
429;0,37;0,45;126;3;0;1;0;medium;2;support
430;0,41;0,52;127;3;1;1;0;low;2;support
431;0,89;0,65;195;6;0;1;0;low;5;support
432;0,41;0,57;160;3;0;1;0;low;2;support
433;0,44;0,51;150;3;0;1;0;low;2;support
434;0,87;0,84;264;6;0;1;0;low;4;support
435;0,1;0,84;309;4;0;1;0;low;6;support
436;0,41;0,47;135;3;0;1;0;low;2;support
437;0,11;0,85;261;4;0;1;0;low;6;support
438;0,43;0,53;160;3;0;1;0;low;2;support
439;0,77;0,9;237;5;0;1;0;low;4;support
440;0,41;0,52;136;3;0;1;0;low;2;technical
441;0,41;0,48;139;3;0;1;0;low;2;technical
442;0,36;0,78;151;4;0;1;0;low;2;technical
443;0,77;1;229;5;0;1;0;low;5;management
444;0,81;0,98;245;5;0;1;0;low;5;IT
445;0,39;0,54;127;3;0;1;0;low;2;IT
446;0,09;0,94;283;5;0;1;0;low;6;IT
447;0,44;0,46;143;3;0;1;0;low;2;IT
448;0,1;0,84;298;4;0;1;0;low;5;IT
449;0,36;0,48;159;3;0;1;0;low;2;product_mng
450;0,81;0,92;239;5;0;1;0;low;5;product_mng
451;0,81;0,9;226;5;0;1;0;medium;4;product_mng
452;0,85;0,98;248;5;0;1;0;medium;5;product_mng
453;0,1;0,87;286;4;0;1;0;medium;6;IT
454;0,37;0,54;145;3;0;1;0;medium;2;RandD
455;0,09;0,97;254;4;1;1;0;medium;6;RandD
456;0,44;0,53;127;3;0;1;0;medium;2;RandD
457;0,86;0,93;223;5;0;1;0;medium;5;RandD
458;0,77;1;255;5;0;1;0;medium;4;RandD
459;0,41;0,48;136;3;0;1;0;medium;2;marketing
460;0,4;0,48;137;3;0;1;0;medium;2;sales
461;0,43;0,49;135;3;0;1;0;medium;2;accounting
462;0,43;0,5;137;3;0;1;0;medium;2;support
463;0,8;0,53;255;5;0;1;0;high;3;technical
464;0,8;0,85;273;5;0;1;0;low;4;management
465;0,82;0,98;234;5;0;1;0;medium;5;marketing
466;0,37;0,54;152;3;0;1;0;medium;2;marketing
467;0,37;0,48;134;3;0;1;0;medium;2;marketing
468;0,09;0,95;292;4;0;1;0;medium;6;sales
469;0,9;0,92;245;5;0;1;0;low;5;sales
470;0,41;0,52;159;3;0;1;0;low;2;sales
471;0,1;0,85;260;4;0;1;0;low;6;sales
472;0,44;0,53;149;3;0;1;0;low;2;sales
473;0,89;0,85;266;5;0;1;0;low;5;sales
474;0,42;0,56;149;3;0;1;0;low;2;sales
475;0,87;1;242;5;0;1;0;low;5;sales
476;0,45;0,57;134;3;0;1;0;low;2;sales
477;0,11;0,87;271;4;0;1;0;low;5;sales
478;0,09;0,79;275;4;0;1;0;low;6;sales
479;0,76;0,83;227;5;0;1;0;low;5;sales
480;0,11;0,96;277;5;0;1;0;low;6;sales
481;0,37;0,49;151;3;0;1;0;low;2;sales
482;0,1;0,79;274;4;0;1;0;low;6;sales
483;0,77;0,87;242;6;0;1;0;low;4;sales
484;0,42;0,54;143;3;1;1;0;low;2;sales
485;0,38;0,52;145;3;0;1;0;low;2;sales
486;0,32;0,95;172;2;0;1;0;low;5;sales
487;0,38;0,49;135;3;0;1;0;low;2;accounting
488;0,19;1;192;4;0;1;0;low;4;accounting
489;0,1;0,83;276;4;0;1;0;low;6;accounting
490;0,76;0,88;206;4;0;1;0;medium;4;hr
491;0,53;0,56;281;6;0;1;0;medium;4;hr
492;0,39;0,51;151;3;0;1;0;medium;2;hr
493;0,11;0,83;244;4;0;1;0;medium;6;hr
494;0,1;0,94;309;4;0;1;0;medium;6;technical
495;0,84;1;218;5;0;1;0;medium;5;technical
496;0,82;0,99;263;6;0;1;0;medium;4;technical
497;0,1;0,82;244;4;0;1;0;medium;6;technical
498;0,59;0,49;263;4;0;1;0;medium;6;technical
499;0,44;0,48;143;3;0;1;0;medium;2;technical
500;0,89;0,95;181;5;0;1;0;medium;2;technical
501;0,91;0,84;265;5;0;1;0;medium;5;technical
502;0,66;0,57;161;5;0;1;0;high;5;technical
503;0,11;0,87;282;5;0;1;0;low;6;technical
504;0,43;0,51;155;3;0;1;0;medium;2;technical
505;0,78;0,83;217;6;0;1;0;medium;4;support
506;0,11;0,97;289;5;0;1;0;medium;6;support
507;0,83;0,98;259;5;0;1;0;medium;4;support
508;0,39;0,54;158;3;0;1;0;low;2;support
